n,D (mm),ΔD (mm)
0,24.35,0.0
20,24.53,0.17999999999999972
40,24.73,0.379999999999999
60,24.85,0.5
80,24.98,0.629999999999999
100,25.12,0.7699999999999996
120,25.25,0.8999999999999986
140,25.38,1.0299999999999976
160,25.53,1.1799999999999997
180,25.71,1.3599999999999994
200,25.85,1.5
220,26.03,1.6799999999999997
240,26.19,1.8399999999999999
