n,D (mm),ΔD (mm)
0,26.1,0.0
20,25.98,0.120000000000001
40,25.86,0.240000000000002
60,25.75,0.3500000000000014
80,25.64,0.46000000000000085
100,25.53,0.5700000000000003
120,25.41,0.6900000000000013
140,25.29,0.8100000000000023
160,25.16,0.9400000000000013
180,25.05,1.0500000000000007
200,24.93,1.1700000000000017
220,24.81,1.2900000000000027
