n,D (mm),ΔD (mm)
0,25.17,0.0
10,25.1,0.07000000000000028
20,25.04,0.13000000000000256
30,24.96,0.21000000000000085
40,24.89,0.28000000000000114
50,24.82,0.3500000000000014
60,24.75,0.4200000000000017
70,24.69,0.4800000000000004
80,24.62,0.5500000000000007
90,24.55,0.620000000000001
100,24.48,0.6900000000000013
110,24.42,0.75
120,24.35,0.8200000000000003
130,24.28,0.8900000000000006
140,24.2,0.9700000000000024
150,24.11,1.0600000000000023
160,23.99,1.1800000000000033
